Fecha,Generación total,Consumo total,Autoconsumo,Energía suministrada a la red,Energía obtenida de la red
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.01.2023,5181.0406,15641.0406,5175.0406,6.0,10466.0
02.01.2023,5572.2014,15640.2014,5567.2014,5.0,10073.0
03.01.2023,11274.5767,60022.5767,11268.5767,6.0,48754.0
04.01.2023,7235.4275,34937.4275,7194.4275,41.0,27743.0
05.01.2023,29907.7944,50585.7944,29768.7944,139.0,20817.0
06.01.2023,33884.6097,68273.6097,33827.6097,57.0,34446.0
07.01.2023,18020.6719,42644.6719,17997.6719,23.0,24647.0
08.01.2023,5780.5242,15938.5242,5773.5242,7.0,10165.0
09.01.2023,20158.5214,74398.5214,20131.5214,27.0,54267.0
10.01.2023,30339.3014,66678.3014,30320.3014,19.0,36358.0
11.01.2023,26948.4761,69353.4761,26909.4761,39.0,42444.0
12.01.2023,14633.3353,51392.3353,14582.3353,51.0,36810.0
13.01.2023,15065.5633,57687.5633,15047.5633,18.0,42640.0
14.01.2023,7933.7056,24707.7056,7922.7056,11.0,16785.0
15.01.2023,5033.9803,14896.9803,5027.9803,6.0,9869.0
16.01.2023,35377.8881,68252.8881,35335.8881,42.0,32917.0
17.01.2023,27034.7483,73977.7483,27003.7483,31.0,46974.0
18.01.2023,27328.1517,66391.1517,27295.1517,33.0,39096.0
19.01.2023,34811.5178,77116.5178,34797.5178,14.0,42319.0
20.01.2023,31916.2536,63553.2536,31832.2536,84.0,31721.0
21.01.2023,16438.3108,45529.3108,16408.3108,30.0,29121.0
22.01.2023,11636.4128,30051.4128,11594.4128,42.0,18457.0
23.01.2023,6253.6672,22148.6672,6244.6672,9.0,15904.0
24.01.2023,18464.5383,62298.5383,18443.5383,21.0,43855.0
25.01.2023,29135.1444,67518.1444,29059.1444,76.0,38459.0
26.01.2023,25676.2606,65809.2606,25624.2606,52.0,40185.0
27.01.2023,20346.78,65343.78,20324.78,22.0,45019.0
28.01.2023,12873.8469,37797.8469,12863.8469,10.0,24934.0
29.01.2023,5465.8053,17285.8053,5460.8053,5.0,11825.0
30.01.2023,23945.5817,59476.5817,23888.5817,57.0,35588.0
31.01.2023,15237.5692,66394.5692,15232.5692,5.0,51162.0
01.02.2023,23222.0931,70523.0931,23209.0931,13.0,47314.0
02.02.2023,14382.3286,53515.3286,14361.3286,21.0,39154.0
03.02.2023,9092.3894,37407.3894,9026.3894,66.0,28381.0
04.02.2023,11056.2011,30325.2011,11039.2011,17.0,19286.0
05.02.2023,5338.2028,15480.2028,5333.2028,5.0,10147.0
06.02.2023,31272.44,62201.44,31209.44,63.0,30992.0
07.02.2023,24353.1792,65292.1792,24336.1792,17.0,40956.0
08.02.2023,32156.5969,75768.5969,32131.5969,25.0,43637.0
