Fecha,Generación total,Consumo total,Autoconsumo,Energía suministrada a la red,Energía obtenida de la red
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.01.2024,120781.6372,354009.6372,120396.6372,385.0,233613.0
02.01.2024,155405.2042,559556.2042,155361.2042,44.0,404195.0
03.01.2024,193242.3272,574864.3272,193222.3272,20.0,381642.0
04.01.2024,242991.5056,674440.5056,242991.5056,0.0,431449.0
05.01.2024,215802.2314,625498.2314,215798.2314,4.0,409700.0
06.01.2024,223654.6575,558715.6575,223598.6575,56.0,335117.0
07.01.2024,110446.1561,350797.1561,110083.1561,363.0,240714.0
08.01.2024,147454.9169,633369.9169,147433.9169,21.0,485936.0
09.01.2024,227030.2244,677163.2244,227025.2244,5.0,450138.0
10.01.2024,227349.2189,644469.2189,227325.2189,24.0,417144.0
11.01.2024,141925.6853,559381.6853,141860.6853,65.0,417521.0
12.01.2024,84814.7267,521949.7267,84814.7267,0.0,437135.0
13.01.2024,182330.3383,460520.3383,182158.3383,172.0,278362.0
14.01.2024,123638.5583,359133.5583,123216.5583,422.0,235917.0
15.01.2024,170946.1383,629392.1383,170905.1383,41.0,458487.0
16.01.2024,191402.4942,613946.4942,191338.4942,64.0,422608.0
17.01.2024,157984.2975,601531.2975,157956.2975,28.0,443575.0
18.01.2024,173350.2986,567031.2986,173244.2986,106.0,393787.0
19.01.2024,229114.4331,605086.4331,229034.4331,80.0,376052.0
20.01.2024,216763.2572,506431.2572,216539.2572,224.0,289892.0
21.01.2024,139711.2367,397601.2367,139347.2367,364.0,258254.0
22.01.2024,66211.2967,316656.2967,66036.2967,175.0,250620.0
23.01.2024,177781.2794,580279.2794,177767.2794,14.0,402512.0
24.01.2024,188301.1875,626876.1875,188291.1875,10.0,438585.0
25.01.2024,186985.6383,665738.6383,186981.6383,4.0,478757.0
26.01.2024,214641.7719,654413.7719,214639.7719,2.0,439774.0
27.01.2024,188907.6278,536663.6278,188864.6278,43.0,347799.0
28.01.2024,130514.9783,379471.9783,130159.9783,355.0,249312.0
29.01.2024,190181.3625,666326.3625,190167.3625,14.0,476159.0
30.01.2024,236978.2342,660891.2342,236971.2342,7.0,423920.0
31.01.2024,256359.8192,695760.8192,256359.8192,0.0,439401.0
01.02.2024,141833.9958,614417.9958,141833.9958,0.0,472584.0
02.02.2024,231457.9689,677823.9689,231457.9689,0.0,446366.0
03.02.2024,200142.4061,586319.4061,199744.4061,398.0,386575.0
04.02.2024,141177.7569,487128.7569,139870.7569,1307.0,347258.0
05.02.2024,254200.7725,707910.7725,254129.7725,71.0,453781.0
06.02.2024,242948.2611,698155.2611,242859.2611,89.0,455296.0
07.02.2024,227480.1775,630497.1775,227335.1775,145.0,403162.0
08.02.2024,186675.6178,623140.6178,186578.6178,97.0,436562.0
09.02.2024,91611.7122,519944.7122,91611.7122,0.0,428333.0
