Fecha,Generación total,Consumo total,Autoconsumo,Energía suministrada a la red,Energía obtenida de la red
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
24.04.2023,585.227,4866.9667,462.227,123.0,4404.7396
25.04.2023,5405.0636,48154.0001,4924.0399,481.0237,43229.9602
26.04.2023,18244.0011,45294.5746,18224.0011,20.0,27070.5735
27.04.2023,14675.3789,44643.7566,14666.3789,9.0,29977.3777
28.04.2023,12406.4933,42872.0027,12388.4933,18.0,30483.5094
29.04.2023,20804.0394,55873.0279,20774.0394,30.0,35098.9885
30.04.2023,17967.4619,47668.1897,17942.4619,25.0,29725.7277
01.05.2023,15302.5239,50860.6215,15296.5239,6.0,35564.0976
02.05.2023,9236.3967,45159.3741,9230.3967,6.0,35928.9775
03.05.2023,9717.1156,41910.9723,9713.1156,4.0,32197.8567
04.05.2023,10769.8423,46745.2472,10769.2906,0.5517,35975.9566
05.05.2023,12681.9667,47382.4492,12656.9667,25.0,34725.4825
06.05.2023,10302.4617,44691.1662,10295.4617,7.0,34395.7046
07.05.2023,16235.3514,47799.0023,16228.3514,7.0,31570.6509
08.05.2023,13302.6089,57144.866,13302.6089,0.0,43842.2571
09.05.2023,23202.2575,50674.8578,23194.2575,8.0,27480.6003
10.05.2023,25964.7136,44189.1503,25932.7136,32.0,18256.4367
11.05.2023,26907.8728,40293.5511,26853.8728,54.0,13439.6783
12.05.2023,28510.2128,50380.2448,28346.2128,164.0,22034.032
13.05.2023,24894.8381,43861.4704,24844.8381,50.0,19016.6323
14.05.2023,31280.26,46365.3031,31223.26,57.0,15142.0431
15.05.2023,27536.9656,44118.8319,27515.9656,21.0,16602.8664
16.05.2023,34558.9464,52257.1109,34441.9464,117.0,17815.1646
17.05.2023,22419.7075,48324.3539,22398.7075,21.0,25925.6464
18.05.2023,14893.7483,47569.9406,14887.7483,6.0,32682.1923
19.05.2023,14376.17,46188.186,14369.17,7.0,31819.016
20.05.2023,4401.7942,46471.6149,4400.7942,1.0,42070.8207
21.05.2023,21472.7722,44412.5102,21428.7722,44.0,22983.7379
22.05.2023,21734.7183,42615.5888,21703.7183,31.0,20911.8705
23.05.2023,19104.2567,41158.047,18968.2567,136.0,22189.7903
24.05.2023,29396.6061,52743.5349,29312.6061,84.0,23430.9288
25.05.2023,25048.2417,50356.9829,24990.2417,58.0,25366.7413
26.05.2023,26498.8853,48035.6231,26416.8853,82.0,21618.7378
27.05.2023,28298.1942,53179.4955,28194.1942,104.0,24985.3014
28.05.2023,13910.6844,37001.9988,13910.6844,0.0,23091.3143
29.05.2023,21086.695,39820.3999,21064.695,22.0,18755.7049
30.05.2023,14353.8728,36849.3318,14335.8728,18.0,22513.459
31.05.2023,20552.0644,44778.0644,20550.0644,2.0,24228.0
01.06.2023,22671.4444,41752.4444,22655.4444,16.0,19097.0
02.06.2023,29635.8867,49384.8867,29596.8867,39.0,19788.0
03.06.2023,40373.1822,52242.1822,40231.1822,142.0,12011.0
04.06.2023,34530.7525,50214.7525,34465.7525,65.0,15749.0
05.06.2023,34257.4147,46582.4147,34227.4147,30.0,12355.0
06.06.2023,38816.1617,53214.1617,38750.1617,66.0,14464.0
07.06.2023,28312.2069,44458.2069,28276.2069,36.0,16182.0
08.06.2023,30478.18,53902.18,30439.18,39.0,23463.0
09.06.2023,28504.5536,44011.5536,28451.5536,53.0,15560.0
10.06.2023,27627.9933,48007.9933,27579.9933,48.0,20428.0
11.06.2023,2543.33,37236.33,2543.33,0.0,34693.0
12.06.2023,7635.4361,37088.4361,7633.4361,2.0,29455.0
13.06.2023,10579.8406,37014.8406,10578.8406,1.0,26436.0
14.06.2023,18704.1183,36313.1183,18697.1183,7.0,17616.0
15.06.2023,37375.7922,42558.7922,37298.7922,77.0,5260.0
16.06.2023,31630.5106,37289.5106,31553.5106,77.0,5736.0
17.06.2023,38363.8158,45683.8158,38309.8158,54.0,7374.0
18.06.2023,29197.6472,34421.6472,29150.6472,47.0,5271.0
19.06.2023,33325.78,40985.78,33245.78,80.0,7740.0
20.06.2023,22777.8467,35323.8467,22717.8467,60.0,12606.0
21.06.2023,39346.6872,55010.6872,39296.6872,50.0,15714.0
22.06.2023,26872.7347,39132.7347,26815.7347,57.0,12317.0
23.06.2023,25298.8322,35308.8322,25230.8322,68.0,10078.0
24.06.2023,26367.2278,35134.2278,26302.2278,65.0,8832.0
25.06.2023,23840.4753,35013.4753,23810.4753,30.0,11203.0
26.06.2023,23839.7339,34556.7339,23791.7339,48.0,10765.0
27.06.2023,24879.0067,43749.0067,24871.0067,8.0,18878.0
28.06.2023,9718.3597,34889.3597,9715.3597,3.0,25174.0
29.06.2023,29925.5664,35933.5664,29898.8836,26.6828,6034.6828
30.06.2023,31806.2214,36216.2214,31772.2214,34.0,4444.0
01.07.2023,25537.055,34299.055,25520.055,17.0,8779.0
02.07.2023,19844.5272,41808.5272,19836.5272,8.0,21972.0
03.07.2023,22483.3053,51819.3053,22460.3053,23.0,29359.0
04.07.2023,29044.8103,42252.8103,28965.8103,79.0,13287.0
05.07.2023,27903.5894,59456.5894,27895.5894,8.0,31561.0
06.07.2023,20423.04,46181.04,20399.04,24.0,25782.0
07.07.2023,19727.3836,54601.3836,19715.3836,12.0,34886.0
08.07.2023,12542.6397,39992.6397,12540.6397,2.0,27452.0
09.07.2023,12932.8392,45900.8392,12926.8392,6.0,32974.0
10.07.2023,25407.2933,47445.2933,25369.2933,38.0,22076.0
11.07.2023,23190.0411,42273.0411,23137.0411,53.0,19136.0
12.07.2023,30257.7742,54881.7742,30201.7742,56.0,24680.0
13.07.2023,8782.6,45490.6,8782.6,0.0,36708.0
14.07.2023,23174.6975,47455.6975,23165.6975,9.0,24290.0
15.07.2023,34091.1925,44311.1925,34065.1925,26.0,10246.0
16.07.2023,15032.9542,41155.9542,15024.9542,8.0,26131.0
17.07.2023,22774.5953,50569.5953,22764.5953,10.0,27805.0
18.07.2023,6674.6192,38155.6192,6673.6192,1.0,31482.0
19.07.2023,29526.0606,48921.0606,29508.0606,18.0,19413.0
20.07.2023,39445.9708,49253.9708,39377.9708,68.0,9876.0
21.07.2023,44420.3892,54699.3892,44380.3892,40.0,10319.0
22.07.2023,36800.4586,44903.4586,36743.4586,57.0,8160.0
23.07.2023,29928.8972,47800.8972,29886.8972,42.0,17914.0
24.07.2023,16572.705,37816.705,16566.705,6.0,21250.0
25.07.2023,13063.1678,51178.1678,13062.1678,1.0,38116.0
26.07.2023,11908.8919,36278.8919,11897.8919,11.0,24381.0
27.07.2023,12083.5539,51303.5539,12070.5539,13.0,39233.0
28.07.2023,20072.37,36013.37,20038.37,34.0,15975.0
29.07.2023,42037.0044,53453.0044,42012.0044,25.0,11441.0
30.07.2023,37631.8603,45169.8603,37562.8603,69.0,7607.0
31.07.2023,32064.0172,41935.0172,31998.0172,66.0,9937.0
01.08.2023,35335.7994,44354.7994,35310.7994,25.0,9044.0
02.08.2023,44055.0594,62969.0594,44030.0594,25.0,18939.0
03.08.2023,39300.025,49483.025,39266.025,34.0,10217.0
04.08.2023,42267.8344,51273.8344,42230.8344,37.0,9043.0
05.08.2023,35292.7081,46428.7081,35254.7081,38.0,11174.0
06.08.2023,42127.0747,54902.0747,42086.0747,41.0,12816.0
07.08.2023,32296.6639,55146.6639,32207.6639,89.0,22939.0
08.08.2023,34469.7853,48072.7853,34429.7853,40.0,13643.0
09.08.2023,40857.9186,56403.9186,40815.9186,42.0,15588.0
10.08.2023,38631.8428,48825.8428,38584.8428,47.0,10241.0
11.08.2023,32287.4436,60003.4436,32260.4436,27.0,27743.0
12.08.2023,14037.5136,55131.5136,14037.5136,0.0,41094.0
13.08.2023,17869.6761,38049.6761,17865.6761,4.0,20184.0
