Fecha,Generación total,Consumo total,Autoconsumo,Energía suministrada a la red,Energía obtenida de la red
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
02.09.2023,38160.8661,337083.4222,38160.8661,0.0,298922.5561
03.09.2023,34909.9208,200964.0129,34897.9208,12.0,166066.0921
04.09.2023,58587.5564,589861.6108,58587.5564,0.0,531274.0544
05.09.2023,41955.5517,343322.2859,41955.5517,0.0,301366.7342
06.09.2023,55961.8828,178332.7029,53793.8828,2168.0,124538.8201
07.09.2023,52752.9125,202631.9817,50744.9125,2008.0,151887.0692
08.09.2023,61191.7869,242836.5439,58587.7869,2604.0,184248.757
09.09.2023,10805.3522,30251.2661,6174.3522,4631.0,24076.9139
10.09.2023,5082.3022,10268.3654,4394.3022,688.0,5874.0632
11.09.2023,56513.4940,242073.9994,52329.0278,4184.4662,189744.9715
12.09.2023,52774.9494,229607.0648,49936.9494,2838.0,179670.1154
13.09.2023,13543.4458,73054.3054,7762.4458,5781.0,65291.8596
14.09.2023,16930.5019,27421.5019,8271.5019,8659.0,19150.0
15.09.2023,49105.5269,81512.3379,45203.5269,3902.0,36308.811
16.09.2023,68959.1136,151561.5277,65532.1136,3427.0,86029.4141
17.09.2023,5515.2156,15684.5869,4639.2156,876.0,11045.3713
18.09.2023,58780.0289,208669.6967,55815.0289,2965.0,152854.6678
19.09.2023,38233.995,148976.9365,36525.995,1708.0,112450.9415
20.09.2023,59840.9356,210237.2385,56454.9356,3386.0,153782.3029
21.09.2023,61222.4247,238535.4116,58203.4247,3019.0,180331.9869
22.09.2023,61892.1303,196328.1303,58648.1303,3244.0,137680.0
23.09.2023,61433.67,180336.0666,58217.67,3216.0,122118.3966
24.09.2023,4600.265,15262.7869,4376.265,224.0,10886.5219
25.09.2023,4584.9719,7642.4488,4531.9719,53.0,3110.4769
26.09.2023,62379.4475,187402.2544,58715.4475,3664.0,128686.8069
27.09.2023,24978.9147,237944.8685,24459.9147,519.0,213484.9538
28.09.2023,44759.9519,172133.9519,42159.9519,2600.0,129974.0
29.09.2023,51411.2622,88799.2622,47339.2622,4072.0,41460.0
30.09.2023,16387.4553,38155.4553,14144.4553,2243.0,24011.0
01.10.2023,5000.6761,8364.6761,4621.6761,379.0,3743.0
02.10.2023,65343.1742,206993.0947,61592.1742,3751.0,145400.9206
03.10.2023,62151.4486,216121.5201,58333.4486,3818.0,157788.0715
04.10.2023,17738.9814,195261.4485,17204.9814,534.0,178056.4671
05.10.2023,43638.7328,206949.9614,42435.7328,1203.0,164514.2286
06.10.2023,56360.2717,231979.8486,53659.2717,2701.0,178320.5769
07.10.2023,21211.8567,308799.8567,21211.8567,0.0,287588.0
08.10.2023,14728.9625,60357.9625,14671.9625,57.0,45686.0
09.10.2023,82180.0,319994.0,82180.0,0.0,237814.0
10.10.2023,97371.6078,316091.6078,97371.6078,0.0,218720.0
11.10.2023,95918.9414,333328.9414,95918.9414,0.0,237410.0
12.10.2023,73919.9583,335299.9583,73919.9583,0.0,261380.0
13.10.2023,34199.6519,318832.6519,34199.6519,0.0,284633.0
14.10.2023,76768.2753,297918.2753,76768.2753,0.0,221150.0
15.10.2023,19471.4544,55576.4544,19405.4544,66.0,36171.0
16.10.2023,85673.1606,313257.1606,85614.1606,59.0,227643.0
17.10.2023,71386.1922,319471.1922,71315.1922,71.0,248156.0
18.10.2023,84851.4542,323312.4542,84804.4542,47.0,238508.0
19.10.2023,54833.545,324079.545,54786.545,47.0,269293.0
20.10.2023,84545.2208,327952.2208,84520.2208,25.0,243432.0
21.10.2023,88540.6703,309568.6703,88540.6703,0.0,221028.0
22.10.2023,17055.8547,55991.8547,16920.8547,135.0,39071.0
23.10.2023,74047.0472,319160.0472,74001.0472,46.0,245159.0
24.10.2023,57111.2003,320879.2003,57109.2003,2.0,263770.0
25.10.2023,53689.265,317514.265,53639.265,50.0,263875.0
26.10.2023,14952.2481,314681.2481,14950.2481,2.0,299731.0
27.10.2023,42244.1958,330786.1958,42229.1958,15.0,288557.0
28.10.2023,47765.2756,296232.2756,47765.2756,0.0,248467.0
29.10.2023,21165.6131,60438.6131,21018.6131,147.0,39420.0
30.10.2023,88122.5833,319367.5833,88122.5833,0.0,231245.0
31.10.2023,33263.8419,319261.8419,33263.8419,0.0,285998.0
01.11.2023,75021.8036,327350.8036,75021.8036,0.0,252329.0
02.11.2023,17492.8528,52838.8528,17437.8528,55.0,35401.0
03.11.2023,23262.0664,311057.0664,23262.0664,0.0,287795.0
04.11.2023,58043.8378,302387.8378,58043.8378,0.0,244344.0
05.11.2023,31056.8447,82905.8447,30905.8447,151.0,52000.0
06.11.2023,79098.4003,314249.4003,79098.4003,0.0,235151.0
07.11.2023,83928.4403,314445.4403,83928.4403,0.0,230517.0
08.11.2023,86487.7019,319697.7019,86415.7019,72.0,233282.0
09.11.2023,88589.4089,328804.4089,88589.4089,0.0,240215.0
10.11.2023,89829.5683,334782.5683,89800.5683,29.0,244982.0
11.11.2023,86629.7031,325840.7031,86629.7031,0.0,239211.0
12.11.2023,22900.2039,73195.2039,22658.2039,242.0,50537.0
13.11.2023,81253.3381,325527.3381,81183.3381,70.0,244344.0
14.11.2023,84213.3453,346218.3453,84203.3453,10.0,262015.0
15.11.2023,85868.9861,332193.9861,85853.9861,15.0,246340.0
16.11.2023,83406.4861,327531.4861,83372.4861,34.0,244159.0
17.11.2023,82649.6256,329323.6256,82649.6256,0.0,246674.0
18.11.2023,73526.8825,311120.8825,73526.8825,0.0,237594.0
19.11.2023,10103.9892,64699.9892,10058.9892,45.0,54641.0
20.11.2023,10450.1419,335773.1419,10450.1419,0.0,325323.0
21.11.2023,48409.7622,334636.7622,48384.7622,25.0,286252.0
22.11.2023,65885.8728,336789.8728,65885.8728,0.0,270904.0
23.11.2023,50041.4342,338026.4342,50041.4342,0.0,287985.0
24.11.2023,28006.4511,335680.4511,28006.4511,0.0,307674.0
25.11.2023,54386.0289,304521.0289,54386.0289,0.0,250135.0
26.11.2023,23425.2072,65697.2072,23272.2072,153.0,42425.0
27.11.2023,63604.0392,332328.0392,63604.0392,0.0,268724.0
28.11.2023,78835.9047,335763.9047,78814.9047,21.0,256949.0
29.11.2023,84082.0697,330348.0697,84076.0697,6.0,246272.0
30.11.2023,58811.5464,351717.5464,58804.5464,7.0,292913.0
01.12.2023,84589.0361,342027.0361,84575.0361,14.0,257452.0
02.12.2023,93269.6817,317142.6817,93265.6817,4.0,223877.0
03.12.2023,71813.8908,206874.8908,71726.8908,87.0,135148.0
04.12.2023,40687.7081,323757.7081,40687.7081,0.0,283070.0
05.12.2023,63436.7881,319222.7881,63436.7881,0.0,255786.0
06.12.2023,86114.085,325764.085,86090.085,24.0,239674.0
07.12.2023,81559.6325,331554.6325,81559.6325,0.0,249995.0
08.12.2023,80705.8331,329263.8331,80663.8331,42.0,248600.0
09.12.2023,98794.2622,303742.2622,98793.2622,1.0,204949.0
10.12.2023,75887.6164,184002.6164,75762.6164,125.0,108240.0
11.12.2023,80187.1956,331001.1956,80153.1956,34.0,250848.0
12.12.2023,90271.5717,339707.5717,90271.5717,0.0,249436.0
13.12.2023,76281.8292,332924.8292,76281.8292,0.0,256643.0
14.12.2023,70292.6436,317605.6436,70292.6436,0.0,247313.0
15.12.2023,72926.1197,318803.1197,72926.1197,0.0,245877.0
16.12.2023,83496.9633,301734.9633,83496.9633,0.0,218238.0
17.12.2023,67111.915,192653.915,66793.915,318.0,125860.0
18.12.2023,82824.3814,321648.3814,82793.3814,31.0,238855.0
19.12.2023,36369.7381,364668.7381,36369.7381,0.0,328299.0
20.12.2023,96746.225,342914.225,96746.225,0.0,246168.0
21.12.2023,76878.8239,318425.8239,76877.8239,1.0,241548.0
22.12.2023,82675.2625,335043.2625,82643.2625,32.0,252400.0
23.12.2023,77717.9225,322226.9225,77707.9225,10.0,244519.0
24.12.2023,75821.5439,207124.5439,75603.5439,218.0,131521.0
25.12.2023,18890.7589,56798.7589,18787.7589,103.0,38011.0
26.12.2023,36189.5425,322233.5425,36189.5425,0.0,286044.0
27.12.2023,84814.9919,321864.9919,84814.9919,0.0,237050.0
28.12.2023,94508.5889,324718.5889,94484.5889,24.0,230234.0
29.12.2023,85550.0725,328483.0725,85534.0725,16.0,242949.0
30.12.2023,39783.8314,325251.8314,39783.8314,0.0,285468.0
31.12.2023,58719.7133,178133.7133,58593.7133,126.0,119540.0
01.01.2024,13871.6114,57082.6114,13617.6114,254.0,43465.0
