Fecha,Generación total,Consumo total,Autoconsumo,Energía suministrada a la red,Energía obtenida de la red
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.01.2025,328549.0164,807369.0164,286821.0164,41728.0,520548.0
02.01.2025,272959.2775,1145986.2775,272959.2775,0.0,873027.0
03.01.2025,323362.7403,1230876.7403,323362.7403,0.0,907514.0
04.01.2025,160043.1994,925524.1994,159281.1994,762.0,766243.0
05.01.2025,193534.4386,783414.4386,176804.4386,16730.0,606610.0
06.01.2025,255422.7747,1130815.7747,255422.7747,0.0,875393.0
07.01.2025,103849.4625,1067326.4625,103849.4625,0.0,963477.0
08.01.2025,172964.5306,1060810.5306,172964.5306,0.0,887846.0
09.01.2025,223703.3374,1033728.3374,223595.3374,108.0,810133.0
10.01.2025,200396.0176,1109593.0176,200388.0176,8.0,909205.0
11.01.2025,164162.3495,890648.3495,161801.3495,2361.0,728847.0
12.01.2025,90841.6386,777531.6386,90841.6386,0.0,686690.0
13.01.2025,216997.2878,1091684.2878,216997.2878,0.0,874687.0
14.01.2025,265312.7419,1118323.7419,265312.7419,0.0,853011.0
15.01.2025,343632.9058,1032276.9058,343632.9058,0.0,688644.0
16.01.2025,340011.2625,1188356.2625,340011.2625,0.0,848345.0
17.01.2025,321914.5603,1242441.5603,321914.5603,0.0,920527.0
18.01.2025,291189.1726,1008113.1726,291054.1726,135.0,717059.0
19.01.2025,273802.1739,802907.1739,246203.1739,27599.0,556704.0
20.01.2025,119018.9504,1048057.9504,119018.9504,0.0,929039.0
21.01.2025,225145.5159,1114873.5159,225145.5159,0.0,889728.0
22.01.2025,222418.4202,872906.4202,205705.4202,16713.0,667201.0
23.01.2025,176251.6192,1072627.6192,176251.6192,0.0,896376.0
24.01.2025,293965.8038,1106254.8038,293961.8038,4.0,812293.0
25.01.2025,334211.6657,954695.6657,322156.6657,12055.0,632539.0
26.01.2025,342866.0322,721998.0322,272219.0322,70647.0,449779.0
27.01.2025,310427.3209,1111392.3209,310421.3209,6.0,800971.0
28.01.2025,299000.3813,1178004.3813,299000.3813,0.0,879004.0
29.01.2025,191432.6987,1084223.6987,191432.6987,0.0,892791.0
30.01.2025,307485.9294,1132152.9294,307484.9294,1.0,824668.0
31.01.2025,285493.414,1233463.414,285493.414,0.0,947970.0
01.02.2025,337126.1248,1040535.1248,336033.1248,1093.0,704502.0
02.02.2025,338187.8853,808221.8853,300588.8853,37599.0,507633.0
03.02.2025,324314.6536,1194767.6536,324314.6536,0.0,870453.0
04.02.2025,354579.5401,1091796.5401,354579.5401,0.0,737217.0
05.02.2025,322484.5133,1173953.5133,322484.5133,0.0,851469.0
06.02.2025,270065.5594,1089055.5594,270065.5594,0.0,818990.0
07.02.2025,237300.1967,1018991.1967,237259.1967,41.0,781732.0
08.02.2025,234760.7197,841656.7197,224900.7197,9860.0,616756.0
09.02.2025,282215.4698,695105.4698,225157.4698,57058.0,469948.0
10.02.2025,270292.6927,1089350.6927,270292.6927,0.0,819058.0
11.02.2025,275174.5295,1070676.5295,275174.5295,0.0,795502.0
12.02.2025,297093.5479,1055856.5479,297088.5479,5.0,758768.0
13.02.2025,277876.7195,1021185.7195,274696.7195,3180.0,746489.0
14.02.2025,296662.8445,653669.8445,233636.8445,63026.0,420033.0
15.02.2025,221824.3687,814164.3687,219006.8687,2817.5,595157.5
16.02.2025,192952.8753,599963.8753,162437.8753,30515.0,437526.0
17.02.2025,298000.0503,1024830.0503,298000.0503,0.0,726830.0
18.02.2025,169028.0399,936371.0399,168780.0399,248.0,767591.0
19.02.2025,219085.4002,918632.4002,216402.4002,2683.0,702230.0
20.02.2025,266761.5344,990027.5344,266497.5344,264.0,723530.0
