Fecha,Generación total,Consumo total,Autoconsumo,Energía suministrada a la red,Energía obtenida de la red
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.01.2024,32209.2161,103167.2161,32158.2161,51.0,71009.0
02.01.2024,25209.7661,288915.7661,25209.7661,0.0,263706.0
03.01.2024,33807.9978,288359.9978,33807.9978,0.0,254552.0
04.01.2024,49631.2481,319620.2481,49631.2481,0.0,269989.0
05.01.2024,47586.7383,345944.7383,47586.7383,0.0,298358.0
06.01.2024,42654.3,217626.3,42633.3,21.0,174993.0
07.01.2024,32783.4567,110178.4567,32749.4567,34.0,77429.0
08.01.2024,35226.1303,372293.1303,35226.1303,0.0,337067.0
09.01.2024,44441.7681,374036.7681,44441.7681,0.0,329595.0
10.01.2024,40495.1525,349927.1525,40495.1525,0.0,309432.0
11.01.2024,26799.8458,299915.8458,26799.8458,0.0,273116.0
12.01.2024,13001.7675,263024.7675,13001.7675,0.0,250023.0
13.01.2024,43134.3019,206435.3019,43114.3019,20.0,163321.0
14.01.2024,35796.9781,126610.9781,35755.9781,41.0,90855.0
15.01.2024,37813.4328,406247.4328,37813.4328,0.0,368434.0
16.01.2024,38864.9894,337021.9894,38864.9894,0.0,298157.0
17.01.2024,36180.1767,271698.1767,36180.1767,0.0,235518.0
18.01.2024,43344.4981,292850.4981,43344.4981,0.0,249506.0
19.01.2024,44724.0458,324722.0458,44724.0458,0.0,279998.0
20.01.2024,38772.43,247827.43,38756.43,16.0,209071.0
21.01.2024,36079.1475,111774.1475,36039.1475,40.0,75735.0
22.01.2024,16681.8294,112294.8294,16681.8294,0.0,95613.0
23.01.2024,30328.8858,318465.8858,30328.8858,0.0,288137.0
24.01.2024,25873.0536,316796.0536,25873.0536,0.0,290923.0
25.01.2024,36728.7769,347646.7769,36728.7769,0.0,310918.0
26.01.2024,42562.6425,351270.6425,42562.6425,0.0,308708.0
27.01.2024,44426.6547,240122.6547,44404.6547,22.0,195718.0
28.01.2024,37522.5569,111319.5569,37461.5569,61.0,73858.0
29.01.2024,33617.9578,401104.9578,33617.9578,0.0,367487.0
30.01.2024,43176.93,393598.93,43176.93,0.0,350422.0
31.01.2024,50035.0203,389777.0203,50035.0203,0.0,339742.0
01.02.2024,23255.4183,315417.4183,23255.4183,0.0,292162.0
02.02.2024,47597.7517,351519.7517,47597.7517,0.0,303922.0
03.02.2024,47963.4136,257422.4136,47953.4136,10.0,209469.0
04.02.2024,41410.7556,151125.7556,41373.7556,37.0,109752.0
05.02.2024,44320.8419,411745.8419,44320.8419,0.0,367425.0
06.02.2024,47768.5506,357022.5506,47768.5506,0.0,309254.0
07.02.2024,47460.6911,348047.6911,47460.6911,0.0,300587.0
08.02.2024,36185.3692,320044.3692,36185.3692,0.0,283859.0
09.02.2024,15357.4494,265838.4494,15357.4494,0.0,250481.0
10.02.2024,16337.5233,204451.5233,16337.5233,0.0,188114.0
11.02.2024,27675.1386,109568.1386,27655.1386,20.0,81913.0
12.02.2024,31326.0767,109728.0767,31285.0767,41.0,78443.0
13.02.2024,19293.42,109470.42,19290.42,3.0,90180.0
14.02.2024,35924.4064,294629.4064,35924.4064,0.0,258705.0
15.02.2024,39515.1908,308995.1908,39515.1908,0.0,269480.0
16.02.2024,47980.6731,355181.6731,47980.6731,0.0,307201.0
17.02.2024,37845.4319,232046.4319,37827.4319,18.0,194219.0
18.02.2024,31767.1694,108736.1694,31726.1694,41.0,77010.0
19.02.2024,13560.6342,324937.6342,13560.6342,0.0,311377.0
20.02.2024,32200.3631,337626.3631,32200.3631,0.0,305426.0
21.02.2024,43678.7608,339182.7608,43678.7608,0.0,295504.0
22.02.2024,40348.7453,362488.7453,40348.7453,0.0,322140.0
23.02.2024,24525.38,276772.38,24525.38,0.0,252247.0
24.02.2024,17476.8236,200968.8236,17476.8236,0.0,183492.0
25.02.2024,22678.9931,103913.9931,22646.9931,32.0,81267.0
26.02.2024,41674.2597,302391.2597,41674.2597,0.0,260717.0
27.02.2024,49912.7853,290899.7853,49912.7853,0.0,240987.0
28.02.2024,44745.6778,311233.6778,44745.6778,0.0,266488.0
29.02.2024,43283.4872,318227.4872,43283.4872,0.0,274944.0
01.03.2024,47808.9592,295789.9592,47808.9592,0.0,247981.0
02.03.2024,41648.0369,225019.0369,41611.0369,37.0,183408.0
03.03.2024,32047.3428,108176.3428,31929.3428,118.0,76247.0
04.03.2024,32090.1756,301505.1756,32090.1756,0.0,269415.0
05.03.2024,29848.7444,313637.7444,29848.7444,0.0,283789.0
06.03.2024,37625.8925,284723.8925,37625.8925,0.0,247098.0
07.03.2024,34279.0539,305312.0539,34279.0539,0.0,271033.0
08.03.2024,28670.9544,295167.9544,28670.9544,0.0,266497.0
09.03.2024,31620.4744,222067.4744,31591.4744,29.0,190476.0
10.03.2024,31306.1722,109882.1722,31266.1722,40.0,78616.0
11.03.2024,43934.3664,344103.3664,43934.3664,0.0,300169.0
12.03.2024,41779.1575,363860.1575,41779.1575,0.0,322081.0
13.03.2024,39526.5175,352106.5175,39526.5175,0.0,312580.0
14.03.2024,37607.525,367576.525,37607.525,0.0,329969.0
15.03.2024,43013.4406,344376.4406,43013.4406,0.0,301363.0
16.03.2024,31797.0153,243321.0153,31765.0153,32.0,211556.0
17.03.2024,27442.2964,109872.2964,27411.2964,31.0,82461.0
18.03.2024,37822.2817,340780.2817,37822.2817,0.0,302958.0
19.03.2024,34146.4889,306026.4889,34146.4889,0.0,271880.0
20.03.2024,30080.8153,314485.8153,30080.8153,0.0,284405.0
21.03.2024,13785.32,303519.32,13785.32,0.0,289734.0
22.03.2024,48573.4211,239399.4211,48573.4211,0.0,190826.0
23.03.2024,34214.9475,104485.9475,34165.9475,49.0,70320.0
24.03.2024,34335.5756,106605.5756,34285.5756,50.0,72320.0
25.03.2024,37577.9794,379777.9794,37577.9794,0.0,342200.0
26.03.2024,43352.8192,339587.8192,43352.8192,0.0,296235.0
27.03.2024,46620.0572,353640.0572,46620.0572,0.0,307020.0
28.03.2024,32294.6675,315757.6675,32294.6675,0.0,283463.0
29.03.2024,30148.1656,113381.1656,30131.1656,17.0,83250.0
30.03.2024,36794.3067,230218.3067,36792.3067,2.0,193426.0
31.03.2024,28502.7131,115056.7131,28464.7131,38.0,86592.0
01.04.2024,37878.4208,392658.4208,37878.4208,0.0,354780.0
02.04.2024,27299.9128,307045.9128,27299.9128,0.0,279746.0
03.04.2024,30021.0003,321217.0003,30021.0003,0.0,291196.0
04.04.2024,39978.5125,327227.5125,39978.5125,0.0,287249.0
05.04.2024,33851.2981,302987.2981,33851.2981,0.0,269136.0
06.04.2024,37228.1078,212105.1078,37216.1078,12.0,174889.0
07.04.2024,31486.7975,110048.7975,31421.7975,65.0,78627.0
08.04.2024,21991.64,318300.64,21991.64,0.0,296309.0
09.04.2024,25266.2106,330262.2106,25266.2106,0.0,304996.0
10.04.2024,31787.2831,307205.2831,31787.2831,0.0,275418.0
11.04.2024,23543.8894,264639.8894,23543.8894,0.0,241096.0
12.04.2024,12401.2056,231403.2056,12401.2056,0.0,219002.0
13.04.2024,9933.1131,174865.1131,9933.1131,0.0,164932.0
14.04.2024,4281.5764,95189.5764,4281.5764,0.0,90908.0
15.04.2024,6029.7133,233572.7133,6029.7133,0.0,227543.0
16.04.2024,7700.61,211922.61,7700.61,0.0,204222.0
17.04.2024,26242.1264,206956.1264,26242.1264,0.0,180714.0
18.04.2024,30014.6147,220557.6147,30014.6147,0.0,190543.0
19.04.2024,43225.4186,233558.4186,43225.4186,0.0,190333.0
20.04.2024,42915.6942,204022.6942,42903.6942,12.0,161119.0
21.04.2024,32838.8786,131269.8786,32744.8786,94.0,98525.0
22.04.2024,37793.6067,361888.6067,37793.6067,0.0,324095.0
23.04.2024,37285.785,328826.785,37285.785,0.0,291541.0
24.04.2024,34523.3514,319309.3514,34523.3514,0.0,284786.0
25.04.2024,29961.7889,314863.7889,29961.7889,0.0,284902.0
26.04.2024,35840.0528,340116.0528,35840.0528,0.0,304276.0
27.04.2024,34378.5578,251255.5578,34378.5578,0.0,216877.0
28.04.2024,25807.5808,106799.5808,25698.5808,109.0,81101.0
29.04.2024,27110.0608,391277.0608,27110.0608,0.0,364167.0
30.04.2024,33603.7842,348629.7842,33603.7842,0.0,315026.0
01.05.2024,23725.5736,110316.5736,23623.5736,102.0,86693.0
02.05.2024,22988.0681,313427.0681,22988.0681,0.0,290439.0
03.05.2024,1883.8739,235093.8739,1883.8739,0.0,233210.0
04.05.2024,10202.9694,164097.9694,10202.9694,0.0,153895.0
05.05.2024,25267.4211,104429.4211,25206.4211,61.0,79223.0
06.05.2024,30562.0828,326350.0828,30562.0828,0.0,295788.0
07.05.2024,28983.2469,324655.2469,28983.2469,0.0,295672.0
08.05.2024,32998.3403,309255.3403,32998.3403,0.0,276257.0
09.05.2024,17459.3328,245278.3328,17459.3328,0.0,227819.0
10.05.2024,37075.4675,278070.4675,37075.4675,0.0,240995.0
11.05.2024,18914.2628,250535.2628,18914.2628,0.0,231621.0
12.05.2024,5277.64,124387.64,5277.64,0.0,119110.0
13.05.2024,6693.7328,186572.7328,6693.7328,0.0,179879.0
14.05.2024,13294.1172,170093.1172,13294.1172,0.0,156799.0
15.05.2024,17236.7986,163017.7986,17236.7986,0.0,145781.0
16.05.2024,33164.3983,182361.3983,33164.3983,0.0,149197.0
17.05.2024,8770.63,160910.63,8770.63,0.0,152140.0
18.05.2024,9991.7983,128976.7983,9991.7983,0.0,118985.0
19.05.2024,11913.2408,88892.2408,11912.2408,1.0,76980.0
20.05.2024,34629.8072,191153.8072,34629.8072,0.0,156524.0
21.05.2024,39707.4031,201806.4031,39707.4031,0.0,162099.0
22.05.2024,36061.5417,223493.5417,36061.5417,0.0,187432.0
23.05.2024,36563.0725,239111.0725,36563.0725,0.0,202548.0
24.05.2024,7341.3861,182026.3861,7341.3861,0.0,174685.0
25.05.2024,13833.3781,119944.3781,13833.3781,0.0,106111.0
26.05.2024,15320.2569,76119.2569,15315.2569,5.0,60804.0
27.05.2024,9275.7858,140405.7858,9275.7858,0.0,131130.0
28.05.2024,36705.9525,156117.9525,36705.9525,0.0,119412.0
29.05.2024,37532.0308,157740.0308,37532.0308,0.0,120208.0
30.05.2024,28194.5547,88968.5547,28111.5547,83.0,60857.0
31.05.2024,38399.8017,192589.8017,38399.8017,0.0,154190.0
01.06.2024,36227.7789,150135.7789,36200.7789,27.0,113935.0
02.06.2024,29480.6875,97861.6875,29384.6875,96.0,68477.0
03.06.2024,30858.7767,250313.7767,30858.7767,0.0,219455.0
04.06.2024,35684.1297,217845.1297,35684.1297,0.0,182161.0
05.06.2024,36274.3847,223377.3847,36274.3847,0.0,187103.0
06.06.2024,34784.3656,253965.3656,34784.3656,0.0,219181.0
07.06.2024,34803.0147,253952.0147,34803.0147,0.0,219149.0
08.06.2024,34673.8975,178791.8975,34647.8975,26.0,144144.0
09.06.2024,29199.5031,109634.5031,29075.5031,124.0,80559.0
10.06.2024,30354.2794,291016.2794,30354.2794,0.0,260662.0
11.06.2024,30860.6014,282981.6014,30860.6014,0.0,252121.0
12.06.2024,22983.9811,258687.9811,22983.9811,0.0,235704.0
13.06.2024,22561.2608,274556.2608,22561.2608,0.0,251995.0
14.06.2024,15938.7194,247231.7194,15938.7194,0.0,231293.0
15.06.2024,11407.4536,204267.4536,11407.4536,0.0,192860.0
16.06.2024,15966.4717,99527.4717,15959.4717,7.0,83568.0
17.06.2024,18122.0861,261700.0861,18122.0861,0.0,243578.0
18.06.2024,30543.3792,248076.3792,30543.3792,0.0,217533.0
19.06.2024,15635.2539,240544.2539,15635.2539,0.0,224909.0
20.06.2024,29630.6614,228766.6614,29630.6614,0.0,199136.0
21.06.2024,25351.1228,106276.1228,25329.1228,22.0,80947.0
