Fecha,Generación total,Consumo total,Autoconsumo,Energía suministrada a la red,Energía obtenida de la red
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.02.2025,7598.4163,15610.4163,7566.4163,32.0,8044.0
02.02.2025,22807.635,51535.635,22807.635,0.0,28728.0
03.02.2025,4279.5347,9719.5347,4251.5347,28.0,5468.0
04.02.2025,12957.3097,21301.3097,12945.3097,12.0,8356.0
05.02.2025,8633.8916,15558.8916,8605.8916,28.0,6953.0
06.02.2025,5509.4798,12553.4798,5497.4798,12.0,7056.0
07.02.2025,7285.3602,15951.3602,7270.3602,15.0,8681.0
08.02.2025,4698.4103,10080.4103,4664.4103,34.0,5416.0
09.02.2025,18763.6825,33512.6825,18753.6825,10.0,14759.0
10.02.2025,10758.2975,17756.2975,10720.2975,38.0,7036.0
11.02.2025,12410.2902,24111.2902,12361.2902,49.0,11750.0
12.02.2025,4674.8703,10904.8703,4661.8703,13.0,6243.0
13.02.2025,7417.9992,14583.9992,7406.9992,11.0,7177.0
14.02.2025,18130.8921,50833.8921,18130.8921,0.0,32703.0
15.02.2025,4877.2169,10555.2169,4877.2169,0.0,5678.0
16.02.2025,4651.6781,10875.6781,4649.6781,2.0,6226.0
17.02.2025,8177.9096,15671.9096,8140.9096,37.0,7531.0
18.02.2025,4241.4812,11741.4812,4241.4812,0.0,7500.0
19.02.2025,4416.74,11452.74,4401.74,15.0,7051.0
20.02.2025,6107.9084,11456.9084,6087.9084,20.0,5369.0
21.02.2025,7637.8524,12637.8524,7583.8524,54.0,5054.0
22.02.2025,5508.9435,11594.9435,5495.9435,13.0,6099.0
23.02.2025,25913.8947,52464.8947,25913.8947,0.0,26551.0
24.02.2025,5347.91,11136.91,5248.91,99.0,5888.0
25.02.2025,5026.845,11546.845,5008.845,18.0,6538.0
26.02.2025,5287.5861,13512.5861,5279.5861,8.0,8233.0
27.02.2025,15409.3569,36111.3569,15356.3569,53.0,20755.0
28.02.2025,5498.0803,25490.0803,5469.0803,29.0,20021.0
01.03.2025,6143.2775,14574.2775,6137.2775,6.0,8437.0
02.03.2025,6326.2717,15342.2717,6325.2717,1.0,9017.0
03.03.2025,5623.8681,25144.8681,5623.3681,0.5,19521.5
04.03.2025,11976.7931,32327.7931,11971.7931,5.0,20356.0
