Fecha,Generación total,Consumo total,Autoconsumo,Energía suministrada a la red,Energía obtenida de la red
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
04.04.2024,62211.7544,736119.3685,62211.7544,0.0,673907.6141
05.04.2024,125237.0986,1545672.1638,125237.0986,0.0,1420435.0652
06.04.2024,120939.1186,1235287.4906,120939.1186,0.0,1114348.372
07.04.2024,124183.1556,1172234.7359,124183.1556,0.0,1048051.5803
08.04.2024,70103.9964,1299956.5556,70103.9964,0.0,1229852.5592
09.04.2024,100712.085,1487725.6448,100697.085,15.0,1387028.5598
10.04.2024,109164.3428,1526116.1487,109164.3428,0.0,1416951.806
11.04.2024,87479.0753,1335082.4355,87479.0753,0.0,1247603.3602
12.04.2024,44516.9031,1033766.7007,44516.9031,0.0,989249.7976
13.04.2024,39933.9356,825334.3077,39933.9356,0.0,785400.3721
14.04.2024,27867.585,796483.4673,27867.585,0.0,768615.8823
15.04.2024,23235.3597,1005099.8195,23235.3597,0.0,981864.4598
16.04.2024,30570.6231,1021777.6494,30570.6231,0.0,991207.0264
17.04.2024,99871.5406,1038062.054,99871.5406,0.0,938190.5135
18.04.2024,106810.7797,1013165.4525,106810.7797,0.0,906354.6728
19.04.2024,132057.7422,1167827.7303,132057.7422,0.0,1035769.988
20.04.2024,128868.6331,997681.3671,128868.6331,0.0,868812.734
21.04.2024,107758.5761,1009083.0483,107758.5761,0.0,901324.4722
22.04.2024,118497.2953,1389413.6495,118497.2953,0.0,1270916.3542
23.04.2024,111017.9669,1561829.1469,111017.9669,0.0,1450811.1799
24.04.2024,103746.7558,1622766.1786,103746.7558,0.0,1519019.4228
25.04.2024,105453.9967,1709409.2043,105453.9967,0.0,1603955.2076
26.04.2024,108120.3781,1702232.3781,108120.3781,0.0,1594112.0
27.04.2024,107204.8269,1305305.8269,107204.8269,0.0,1198101.0
28.04.2024,109808.8992,1232548.8992,109808.8992,0.0,1122740.0
29.04.2024,97510.3153,1703294.3153,97510.3153,0.0,1605784.0
30.04.2024,98150.2689,1701918.2689,98150.2689,0.0,1603768.0
01.05.2024,92764.4258,1379022.4258,92764.4258,0.0,1286258.0
02.05.2024,63181.7567,1616882.7567,63181.7567,0.0,1553701.0
03.05.2024,10601.3581,1078948.3581,10601.3581,0.0,1068347.0
04.05.2024,45971.7839,940223.7839,45971.7839,0.0,894252.0
05.05.2024,91502.9569,786767.9569,91502.9569,0.0,695265.0
