Fecha,Generación total,Consumo total,Autoconsumo,Energía suministrada a la red,Energía obtenida de la red
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.12.2024,42837.8065,15591.8065,8280.8065,34557.0,7311.0
02.12.2024,6787.571,43469.571,5816.571,971.0,37653.0
03.12.2024,20932.5393,23331.5393,11478.5393,9454.0,11853.0
04.12.2024,39740.0634,37884.0634,20484.0634,19256.0,17400.0
05.12.2024,40428.7207,51650.7207,28332.7207,12096.0,23318.0
06.12.2024,25933.3335,35314.3335,16867.3335,9066.0,18447.0
07.12.2024,25511.7020,22790.702,13851.8495,11659.8525,8938.8525
08.12.2024,7584.0225,14725.0225,3992.0225,3592.0,10733.0
09.12.2024,25589.9285,39583.9285,14687.9285,10902.0,24896.0
10.12.2024,34577.0032,41105.0032,18551.0032,16026.0,22554.0
11.12.2024,45051.8981,58170.8981,33166.8981,11885.0,25004.0
12.12.2024,45033.7693,63654.7693,32648.7693,12385.0,31006.0
13.12.2024,37071.7294,57179.7294,27712.7294,9359.0,29467.0
14.12.2024,34805.7785,39108.7785,24398.7785,10407.0,14710.0
15.12.2024,51401.5046,16445.5046,8896.5046,42505.0,7549.0
16.12.2024,54440.7356,69931.7356,42588.7356,11852.0,27343.0
17.12.2024,45740.2987,75433.2987,38905.2987,6835.0,36528.0
18.12.2024,41596.2826,66281.2826,30001.2826,11595.0,36280.0
19.12.2024,24329.2805,57800.2805,19166.2805,5163.0,38634.0
20.12.2024,28868.8036,40243.8036,21706.8036,7162.0,18537.0
21.12.2024,31461.385,36504.385,23201.385,8260.0,13303.0
22.12.2024,23057.4779,16870.4779,8171.4779,14886.0,8699.0
23.12.2024,40417.4791,50117.4791,25763.4791,14654.0,24354.0
24.12.2024,50034.432,56853.432,31947.432,18087.0,24906.0
25.12.2024,42956.4792,19186.4792,9028.4792,33928.0,10158.0
26.12.2024,57322.9728,44343.9728,25352.9728,31970.0,18991.0
27.12.2024,54592.2967,66360.2967,40583.2967,14009.0,25777.0
28.12.2024,54968.6389,58004.6389,45301.6389,9667.0,12703.0
29.12.2024,53950.987,16406.987,9072.987,44878.0,7334.0
30.12.2024,50330.1997,63269.1997,36916.6997,13413.5,26352.5
31.12.2024,52537.4025,69319.4025,42023.4025,10514.0,27296.0
01.01.2025,49924.2062,25145.2062,10662.2062,39262.0,14483.0
02.01.2025,44426.3828,64378.3828,32803.3828,11623.0,31575.0
03.01.2025,48814.204,85171.204,41560.204,7254.0,43611.0
04.01.2025,24193.8185,51796.8185,23018.8185,1175.0,28778.0
