Fecha,Generación total,Consumo total,Autoconsumo,Energía suministrada a la red,Energía obtenida de la red
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.12.2024,49184.7778,180730.7778,49018.7778,166.0,131712.0
02.12.2024,8434.5222,191733.5222,8434.5222,0.0,183299.0
03.12.2024,26225.9753,171460.9753,26222.9753,3.0,145238.0
04.12.2024,48721.3057,180736.3057,48649.3057,72.0,132087.0
05.12.2024,48114.337,188812.337,48043.337,71.0,140769.0
06.12.2024,32912.1936,190721.1936,32879.1936,33.0,157842.0
07.12.2024,32418.1012,170662.1012,32398.1012,20.0,138264.0
08.12.2024,10520.8673,165267.8673,10520.8673,0.0,154747.0
09.12.2024,32228.6722,184944.6722,32185.6722,43.0,152759.0
10.12.2024,42524.7756,187664.7756,42483.7756,41.0,145181.0
11.12.2024,53736.0292,196523.0292,53636.0292,100.0,142887.0
12.12.2024,54176.5879,203967.5879,54123.5879,53.0,149844.0
13.12.2024,45269.004,195209.004,45176.004,93.0,150033.0
14.12.2024,38064.5441,166205.5441,37989.5441,75.0,128216.0
15.12.2024,54804.654,171199.654,54588.654,216.0,116611.0
16.12.2024,65298.0716,230102.0716,65285.0716,13.0,164817.0
17.12.2024,60412.0282,234694.0282,60407.0282,5.0,174287.0
18.12.2024,49434.3298,210438.3298,49364.3298,70.0,161074.0
19.12.2024,31673.7882,196183.7882,31660.7882,13.0,164523.0
20.12.2024,34450.7715,191239.7715,34450.7715,0.0,156789.0
21.12.2024,38297.9356,176979.9356,38273.9356,24.0,138706.0
22.12.2024,28350.218,162520.218,28350.218,0.0,134170.0
23.12.2024,48443.18,209869.18,48437.18,6.0,161432.0
24.12.2024,60850.7472,207179.7472,60762.7472,88.0,146417.0
25.12.2024,51998.8837,184804.8837,51868.8837,130.0,132936.0
26.12.2024,69271.0947,221326.0947,69186.0947,85.0,152140.0
27.12.2024,66401.6145,225930.6145,66375.6145,26.0,159555.0
28.12.2024,66959.3334,212334.3334,66891.3334,68.0,145443.0
29.12.2024,63572.1937,200823.1937,63437.1937,135.0,137386.0
30.12.2024,54756.7024,240250.7024,54756.7024,0.0,185494.0
31.12.2024,63896.4868,229913.4868,63876.4868,20.0,166037.0
01.01.2025,57815.6211,188653.6211,57620.6211,195.0,131033.0
02.01.2025,56435.2485,215956.2485,56396.2485,39.0,159560.0
03.01.2025,61088.5983,218767.5983,61039.5983,49.0,157728.0
04.01.2025,25180.0878,192526.0878,25175.0878,5.0,167351.0
05.01.2025,37677.608,181022.608,37594.608,83.0,143428.0
