Fecha,Generación total,Consumo total,Autoconsumo,Energía suministrada a la red,Energía obtenida de la red
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
13.09.2024,167.1442,193.4578,145.8797,21.2645,47.5782
14.09.2024,410.5567,345.0907,284.4889,126.0678,60.6019
15.09.2024,565.9703,166.9703,149.9703,416.0,17.0
16.09.2024,1216.4931,1409.4931,1111.4931,105.0,298.0
17.09.2024,877.1083,1198.1083,670.775,206.3333,529.0
18.09.2024,1023.9733,1091.9733,812.9733,211.0,279.0
19.09.2024,789.7622,908.7622,589.4895,200.2727,322.0
20.09.2024,1301.0558,1906.0558,1108.0391,193.0167,798.0167
21.09.2024,599.7597,696.7597,546.7597,53.0,150.0
22.09.2024,577.8911,578.8911,517.8911,60.0,61.0
23.09.2024,2016.2997,3151.2997,1776.2997,240.0,1375.0
24.09.2024,614.6814,874.6814,579.6814,35.0,295.0
25.09.2024,1635.7281,2513.7281,1472.7281,163.0,1041.0
26.09.2024,3326.6144,5037.6144,3134.6144,192.0,1903.0
27.09.2024,3910.9053,5177.9053,3624.9053,286.0,1553.0
28.09.2024,1002.3614,1159.3614,815.3614,187.0,344.0
29.09.2024,617.0332,871.0332,579.0332,38.0,292.0
30.09.2024,1737.9939,2243.9939,1590.9939,147.0,653.0
01.10.2024,9323.3814,10215.3814,9183.3814,140.0,1032.0
