Fecha,Generación total,Consumo total,Autoconsumo,Energía suministrada a la red,Energía obtenida de la red
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
11.08.2025,0.0,0.0,0.0,0.0,0.0
12.08.2025,178392.8586,832170.8586,178392.8586,0.0,653778.0
13.08.2025,576625.7731,1310863.7731,559675.7731,16950.0,751188.0
14.08.2025,855799.6603,1395558.6603,850176.6603,5623.0,545382.0
15.08.2025,838690.6867,1354504.6867,833851.6867,4839.0,520653.0
16.08.2025,879290.1622,1460848.1622,874752.1622,4538.0,586096.0
17.08.2025,392677.4172,591058.4172,390368.4172,2309.0,200690.0
18.08.2025,893800.1333,1570555.1333,884987.1333,8813.0,685568.0
19.08.2025,838527.9647,1704666.9647,829746.9647,8781.0,874920.0
20.08.2025,606492.7869,1447576.7869,598603.7869,7889.0,848973.0
21.08.2025,815998.2167,1501468.2167,803242.2167,12756.0,698226.0
22.08.2025,942171.7356,1657882.7356,925144.7356,17027.0,732738.0
23.08.2025,212020.9403,1237466.9403,211094.9403,926.0,1026372.0
24.08.2025,390399.7381,863312.7381,387664.7381,2735.0,475648.0
25.08.2025,226033.2033,1004984.2033,225655.2033,378.0,779329.0
26.08.2025,674873.8864,1027840.8864,669411.8864,5462.0,358429.0
27.08.2025,685318.1022,1108633.1022,678231.1022,7087.0,430402.0
28.08.2025,785881.21,1224775.21,781255.21,4626.0,443520.0
29.08.2025,848474.2433,1304593.2433,844303.2433,4171.0,460290.0
30.08.2025,1025366.8394,1544409.8394,1020349.8394,5017.0,524060.0
31.08.2025,972167.9333,1502841.9333,967664.9333,4503.0,535177.0
01.09.2025,712908.1244,1503638.1244,702058.1244,10850.0,801580.0
02.09.2025,1009837.6147,1545643.6147,1003994.6147,5843.0,541649.0
03.09.2025,1135473.4886,1735450.4886,1131200.4886,4273.0,604250.0
04.09.2025,964976.5553,1598683.5553,958098.5553,6878.0,640585.0
05.09.2025,690701.8908,1288672.8908,687296.8908,3405.0,601376.0
06.09.2025,1560216.6619,1282541.6619,801855.6619,758361.0,480686.0
07.09.2025,1712337.3253,1205612.3253,780036.3253,932301.0,425576.0
08.09.2025,1652185.49,1545899.49,984726.49,667459.0,561173.0
09.09.2025,1607614.0947,1585799.0947,1056314.0947,551300.0,529485.0
10.09.2025,1766734.1128,1744340.1128,1143801.1128,622933.0,600539.0
11.09.2025,1719151.1197,1744402.1197,1184897.1197,534254.0,559505.0
12.09.2025,1728386.1944,1676363.1944,1112993.1944,615393.0,563370.0
13.09.2025,1735839.6278,1791293.6278,1172129.6278,563710.0,619164.0
14.09.2025,1695794.9372,1738043.9372,1082442.9372,613352.0,655601.0
15.09.2025,1656703.1522,1949805.1522,1205160.1522,451543.0,744645.0
16.09.2025,1448964.7967,1833431.7967,1089571.7967,359393.0,743860.0
17.09.2025,1472186.4161,1789563.4161,1100997.4161,371189.0,688566.0
18.09.2025,1682815.0839,1885622.0839,1198212.0839,484603.0,687410.0
19.09.2025,1616255.8844,1939564.8844,1126901.8844,489354.0,812663.0
20.09.2025,1618642.8478,1905962.8478,1123938.8478,494704.0,782024.0
21.09.2025,1472301.9639,1750880.9639,966305.9639,505996.0,784575.0
22.09.2025,269139.6072,1475390.6072,266955.6072,2184.0,1208435.0
23.09.2025,1043605.8028,1473360.8028,798711.8028,244894.0,674649.0
24.09.2025,1432100.4139,1433433.4139,926539.4139,505561.0,506894.0
25.09.2025,1807215.5439,1701342.5439,1098975.5439,708240.0,602367.0
26.09.2025,1782867.2392,1831137.2392,1182123.2392,600744.0,649014.0
27.09.2025,1750304.7317,1869720.7317,1171758.7317,578546.0,697962.0
28.09.2025,968152.5536,1330163.5536,726597.5536,241555.0,603566.0
29.09.2025,1757488.0358,1792473.0358,1114326.0358,643162.0,678147.0
30.09.2025,1224557.5139,1787190.5139,861748.5139,362809.0,925442.0
01.10.2025,302178.7647,1325423.7647,302178.7647,0.0,1023245.0
02.10.2025,490800.7606,1273128.7606,458041.7606,32759.0,815087.0
03.10.2025,1553681.3042,1401016.3042,910893.3042,642788.0,490123.0
04.10.2025,1780449.63,1685295.63,1037439.63,743010.0,647856.0
05.10.2025,1873102.4836,1789662.4836,1112021.4836,761081.0,677641.0
06.10.2025,563778.0953,1522102.0953,505218.0953,58560.0,1016884.0
07.10.2025,1259209.7358,1300885.7358,835174.7358,424035.0,465711.0
08.10.2025,1759780.3011,1365354.3011,882954.3011,876826.0,482400.0
09.10.2025,1990733.5003,1475677.5003,996766.5003,993967.0,478911.0
10.10.2025,1725984.7908,1527506.7908,1024559.7908,701425.0,502947.0
11.10.2025,1949759.9244,1767941.9244,1184081.9244,765678.0,583860.0
12.10.2025,1576089.6781,1538094.6781,1007729.6781,568360.0,530365.0
13.10.2025,872029.5706,1459685.5706,755394.5706,116635.0,704291.0
14.10.2025,1638954.0042,1526876.0042,1027201.0042,611753.0,499675.0
15.10.2025,1699195.6503,1668959.6503,1131292.6503,567903.0,537667.0
16.10.2025,1664465.0333,1740594.0333,1068470.0333,595995.0,672124.0
17.10.2025,1683718.3556,1793337.3556,1144425.3556,539293.0,648912.0
18.10.2025,296151.7447,1409431.7447,293765.7447,2386.0,1115666.0
19.10.2025,1598003.3983,520208.3983,367593.3983,1230410.0,152615.0
20.10.2025,2069939.0069,1456661.0069,1006067.0069,1063872.0,450594.0
21.10.2025,2016096.8744,1560956.8744,1052620.8744,963476.0,508336.0
22.10.2025,1702486.6197,1683286.6197,1082350.6197,620136.0,600936.0
23.10.2025,1780892.2333,1782640.2333,1124749.2333,656143.0,657891.0
24.10.2025,1693930.6242,1865403.6242,1155289.6242,538641.0,710114.0
25.10.2025,1858470.4769,1845291.4769,1208300.4769,650170.0,636991.0
26.10.2025,63816.7372,1052934.7372,63816.7372,0.0,989118.0
27.10.2025,581322.2622,1217464.2622,530456.2622,50866.0,687008.0
28.10.2025,508253.3522,1191024.3522,478733.3522,29520.0,712291.0
29.10.2025,1146110.4892,1076462.4892,613843.4892,532267.0,462619.0
30.10.2025,1141593.6822,1104679.6822,694315.6822,447278.0,410364.0
31.10.2025,596259.7903,1119219.7903,514264.7903,81995.0,604955.0
01.11.2025,1349751.4047,1406418.4047,802147.4047,547604.0,604271.0
02.11.2025,512583.0286,1119531.0286,426472.0286,86111.0,693059.0
03.11.2025,1162036.7511,1276344.7511,796021.7511,366015.0,480323.0
04.11.2025,1623208.9167,1715999.9167,1046358.9167,576850.0,669641.0
05.11.2025,1656283.8933,1741638.8933,1011157.8933,645126.0,730481.0
06.11.2025,1373785.5033,1621440.5033,969688.5033,404097.0,651752.0
07.11.2025,1478148.2064,1798090.2064,1062814.2064,415334.0,735276.0
08.11.2025,450443.4228,1355551.4228,450443.4228,0.0,905108.0
09.11.2025,1731327.1464,1270091.1464,791811.1464,939516.0,478280.0
10.11.2025,1660665.7789,1534468.7789,1012643.7789,648022.0,521825.0
11.11.2025,1789990.6128,1641588.6128,1128559.6128,661431.0,513029.0
12.11.2025,1348704.8778,1590214.8778,893019.8778,455685.0,697195.0
13.11.2025,515834.6711,1489034.6711,492005.6711,23829.0,997029.0
14.11.2025,880034.8106,1395435.8106,742198.8106,137836.0,653237.0
15.11.2025,1591434.0733,1560124.0733,1034629.0733,556805.0,525495.0
16.11.2025,1634484.2483,1476060.2483,947403.2483,687081.0,528657.0
17.11.2025,102865.6217,1128408.6217,102865.6217,0.0,1025543.0
18.11.2025,1908075.0003,1339220.0003,906722.0003,1001353.0,432498.0
19.11.2025,1516527.9631,1397904.9631,926754.9631,589773.0,471150.0
20.11.2025,1981618.6314,1612640.6314,1069192.6314,912426.0,543448.0
21.11.2025,864654.3228,1746959.3228,745185.3228,119469.0,1001774.0
22.11.2025,1891105.5614,1537277.5614,1001018.5614,890087.0,536259.0
23.11.2025,1556928.9911,1407724.9911,902794.9911,654134.0,504930.0
24.11.2025,1961539.2631,1657706.2631,1148601.2631,812938.0,509105.0
25.11.2025,2064689.7386,1773916.7386,1225402.7386,839287.0,548514.0
26.11.2025,1645827.1725,1764435.1725,1171730.1725,474097.0,592705.0
27.11.2025,1881958.515,1741622.515,1168486.515,713472.0,573136.0
28.11.2025,1987969.9964,1905049.9964,1253049.9964,734920.0,652000.0
29.11.2025,1704946.4764,1886145.4764,1157841.4764,547105.0,728304.0
30.11.2025,1365517.2558,1887186.2558,1019462.2558,346055.0,867724.0
01.12.2025,1307386.6863,1696879.6863,999377.6863,308009.0,697502.0
