Fecha,Generación total,Consumo total,Autoconsumo,Energía suministrada a la red,Energía obtenida de la red
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.01.2025,64212.0516,117718.0516,45172.0516,19040.0,72546.0
02.01.2025,58589.5135,125768.5135,39399.5135,19190.0,86369.0
03.01.2025,63088.4999,123188.4999,46821.4999,16267.0,76367.0
04.01.2025,28280.8996,97461.8996,23263.8996,5017.0,74198.0
05.01.2025,38048.2985,99185.2985,22834.2985,15214.0,76351.0
06.01.2025,41874.487,102734.487,28782.487,13092.0,73952.0
07.01.2025,21625.7994,97636.7994,17663.7994,3962.0,79973.0
08.01.2025,27908.957,72202.957,23471.957,4437.0,48731.0
09.01.2025,40220.2828,64627.2828,23397.2828,16823.0,41230.0
10.01.2025,37561.5418,93729.5418,26740.5418,10821.0,66989.0
11.01.2025,30066.2296,76651.2296,22267.2296,7799.0,54384.0
12.01.2025,16331.3843,66071.3843,15282.3843,1049.0,50789.0
13.01.2025,52803.6171,101316.6171,32538.6171,20265.0,68778.0
14.01.2025,48680.4207,109339.4207,34603.4207,14077.0,74736.0
15.01.2025,65802.5244,84643.5244,40897.5244,24905.0,43746.0
16.01.2025,64700.0114,109464.0114,43540.0114,21160.0,65924.0
17.01.2025,63121.9671,122010.9671,42483.9671,20638.0,79527.0
18.01.2025,56758.2901,178462.2901,49708.2901,7050.0,128754.0
19.01.2025,56348.9344,91920.9344,27572.9344,28776.0,64348.0
20.01.2025,25028.3813,64997.3813,20289.3813,4739.0,44708.0
21.01.2025,55229.126,51587.126,24858.126,30371.0,26729.0
22.01.2025,41965.578,61918.578,17311.578,24654.0,44607.0
23.01.2025,29530.065,61840.065,22189.065,7341.0,39651.0
24.01.2025,53344.378,59382.378,27386.378,25958.0,31996.0
25.01.2025,59957.8036,103975.8036,36325.8036,23632.0,67650.0
26.01.2025,63305.8845,98158.8845,29080.8845,34225.0,69078.0
27.01.2025,58509.4311,123424.4311,38774.4311,19735.0,84650.0
28.01.2025,49242.6117,110513.6117,35879.6117,13363.0,74634.0
29.01.2025,33887.5779,78052.5779,19981.5779,13906.0,58071.0
30.01.2025,57576.6026,120515.6026,45906.6026,11670.0,74609.0
31.01.2025,61093.3627,100559.3627,33935.3627,27158.0,66624.0
01.02.2025,65353.1637,150102.1637,53147.1637,12206.0,96955.0
02.02.2025,61963.0535,137758.0535,47729.0535,14234.0,90029.0
03.02.2025,64832.2956,97076.2956,38825.2956,26007.0,58251.0
04.02.2025,67666.0704,115526.0704,49778.0704,17888.0,65748.0
05.02.2025,63939.9818,116050.9818,45588.9818,18351.0,70462.0
06.02.2025,54473.0246,112091.0246,40407.0246,14066.0,71684.0
07.02.2025,48631.8812,81259.8812,31197.8812,17434.0,50062.0
08.02.2025,52225.6865,103169.6865,37087.6865,15138.0,66082.0
09.02.2025,51816.1022,86611.1022,26193.1022,25623.0,60418.0
10.02.2025,60623.0558,153920.0558,55496.0558,5127.0,98424.0
11.02.2025,52422.4477,126680.4477,39890.4477,12532.0,86790.0
12.02.2025,57777.0465,129674.0465,43840.0465,13937.0,85834.0
13.02.2025,59154.2312,107211.2312,45275.2312,13879.0,61936.0
14.02.2025,49380.2116,30389.2116,14947.2116,34433.0,15442.0
15.02.2025,38918.8823,74514.8823,30499.8823,8419.0,44015.0
16.02.2025,34030.4553,83088.4553,25969.4553,8061.0,57119.0
17.02.2025,53496.9071,93502.9071,28414.9071,25082.0,65088.0
18.02.2025,30739.5442,74952.5442,17307.5442,13432.0,57645.0
19.02.2025,41474.8083,64509.8083,25076.8083,16398.0,39433.0
20.02.2025,46012.3517,69323.3517,23298.3517,22714.0,46025.0
21.02.2025,59103.8433,102585.8433,41338.8433,17765.0,61247.0
22.02.2025,54467.3382,101622.3382,37109.3382,17358.0,64513.0
23.02.2025,62440.8847,84195.8847,35129.8847,27311.0,49066.0
24.02.2025,59268.4941,146413.4941,51552.4941,7716.0,94861.0
25.02.2025,55527.4374,118592.4374,40493.4374,15034.0,78099.0
26.02.2025,47906.0769,129807.0769,39090.0769,8816.0,90717.0
27.02.2025,56643.6691,85589.6691,25127.1691,31516.5,60519.0
28.02.2025,39957.6348,52836.6348,22262.6348,17695.0,30574.0
01.03.2025,45519.5475,47810.5475,19763.5475,25756.0,28047.0
02.03.2025,41498.9123,58019.9123,18105.9123,23393.0,39914.0
03.03.2025,47694.8209,59614.8209,22554.8209,25140.0,37060.0
04.03.2025,40183.3806,105106.3806,29532.3806,10651.0,75574.0
05.03.2025,44203.3841,52879.3841,16335.3841,27868.0,36544.0
06.03.2025,38281.0655,55946.0655,22114.0655,16167.0,33832.0
07.03.2025,52624.2961,68490.2961,23489.2961,29135.0,45001.0
08.03.2025,45463.5899,48040.5899,22730.5899,22733.0,25310.0
09.03.2025,27234.1284,50159.1284,16856.1284,10378.0,33303.0
10.03.2025,39823.5936,47312.5936,20498.5936,19325.0,26814.0
11.03.2025,28024.0103,51655.0103,19160.0103,8864.0,32495.0
12.03.2025,20849.6243,57691.6243,14141.6243,6708.0,43550.0
13.03.2025,30231.2557,51363.2557,21141.2557,9090.0,30222.0
14.03.2025,37251.0906,55395.0906,22748.0906,14503.0,32647.0
15.03.2025,42421.7783,65674.7783,18367.7783,24054.0,47307.0
16.03.2025,36251.3098,49855.3098,18940.3098,17311.0,30915.0
17.03.2025,43871.7932,49521.7932,19643.7932,24228.0,29878.0
18.03.2025,43737.7018,49415.7018,19943.7018,23794.0,29472.0
19.03.2025,49176.5781,49754.5781,20143.5781,29033.0,29611.0
20.03.2025,52770.497,60259.497,21377.497,31393.0,38882.0
21.03.2025,44823.5436,53892.5436,21638.5436,23185.0,32254.0
22.03.2025,34743.2909,92173.2909,25985.2909,8758.0,66188.0
23.03.2025,36957.1313,92063.1313,19862.1313,17095.0,72201.0
24.03.2025,13647.0246,77927.0246,11354.0246,2293.0,66573.0
25.03.2025,29316.1196,58572.1196,19902.1196,9414.0,38670.0
26.03.2025,19107.4888,60716.4888,17601.4888,1506.0,43115.0
27.03.2025,33682.7167,47256.7167,19868.7167,13814.0,27388.0
28.03.2025,30376.1522,61767.1522,22685.1522,7691.0,39082.0
29.03.2025,8249.1011,63607.1011,7920.1011,329.0,55687.0
30.03.2025,25984.3394,57169.3394,18674.3394,7310.0,38495.0
31.03.2025,19961.4825,56292.4825,13521.4825,6440.0,42771.0
01.04.2025,39863.9572,53963.9572,22254.9572,17609.0,31709.0
02.04.2025,42774.9433,55714.9433,18796.9433,23978.0,36918.0
03.04.2025,34516.3133,47904.3133,20992.3133,13524.0,26912.0
04.04.2025,46898.8508,61992.8508,20652.8508,26246.0,41340.0
05.04.2025,49878.8736,51775.8736,20686.8736,29192.0,31089.0
06.04.2025,45939.6097,50384.6097,17534.6097,28405.0,32850.0
07.04.2025,29516.9161,45045.9161,18727.9161,10789.0,26318.0
08.04.2025,33663.9339,67996.9339,24299.9339,9364.0,43697.0
09.04.2025,35816.3786,62612.3786,22869.3786,12947.0,39743.0
10.04.2025,29623.0631,57107.0631,19533.0631,10090.0,37574.0
11.04.2025,37386.8475,69544.8475,27282.8475,10104.0,42262.0
12.04.2025,21461.4911,67543.4911,15607.4911,5854.0,51936.0
13.04.2025,41919.2908,43411.2908,17674.2908,24245.0,25737.0
14.04.2025,44430.0881,49631.0881,17504.0881,26926.0,32127.0
15.04.2025,31766.4783,67850.4783,23224.4783,8542.0,44626.0
16.04.2025,25483.8769,68186.8769,19085.8769,6398.0,49101.0
17.04.2025,15738.9831,64600.9831,14337.9831,1401.0,50263.0
18.04.2025,28312.8872,63856.8872,20529.8872,7783.0,43327.0
19.04.2025,30351.8664,53184.8664,19788.8664,10563.0,33396.0
20.04.2025,42948.9319,56696.9319,16564.9319,26384.0,40132.0
21.04.2025,11773.9484,62479.9484,11664.9484,109.0,50815.0
22.04.2025,20732.7564,46907.7564,14794.7564,5938.0,32113.0
23.04.2025,28449.3122,50878.3122,15013.3122,13436.0,35865.0
24.04.2025,32203.1831,46091.1831,17802.1831,14401.0,28289.0
25.04.2025,22687.4114,56661.4114,14145.4114,8542.0,42516.0
26.04.2025,28419.6036,65812.6036,19181.6036,9238.0,46631.0
27.04.2025,15421.2472,57618.2472,12896.2472,2525.0,44722.0
28.04.2025,28913.7089,52286.7089,16890.7089,12023.0,35396.0
29.04.2025,39437.0189,47809.0189,19416.0189,20021.0,28393.0
30.04.2025,24718.5839,53704.5839,19222.5839,5496.0,34482.0
01.05.2025,43674.5503,50575.5503,16698.5503,26976.0,33877.0
02.05.2025,34093.4986,76971.4986,26942.4986,7151.0,50029.0
03.05.2025,22359.8017,54274.8017,14436.8017,7923.0,39838.0
04.05.2025,39653.4131,51337.4131,15546.4131,24107.0,35791.0
05.05.2025,36024.8269,46423.8269,18151.8269,17873.0,28272.0
06.05.2025,35056.1767,56011.1767,17464.1767,17592.0,38547.0
07.05.2025,39497.7597,63364.7597,19408.7597,20089.0,43956.0
08.05.2025,36276.335,72030.335,26609.335,9667.0,45421.0
09.05.2025,26989.9323,56989.9322,16929.0028,10060.9295,40060.9295
10.05.2025,24100.2406,61115.2406,17289.2406,6811.0,43826.0
